; eventmsg.txt
PHRASE_egyptian_city_attacked_too_late_reason_P_C 			"re ziwezhat eo erruet ho soudarded evit skoazell armeadoù ar faraon e [city_name]. Koulskoude eo bet merzet ho striv. Neuze,"
PHRASE_egyptian_city_attacked_too_late_reason_C_A 			"dre m'ho peus gortozet re bell a-raok kas soudarded da [city_name],"
PHRASE_egyptian_city_attacked_too_late_reason_C_B 			"ho soudarded a zo erruet e poent evit difenn [city_name]. Neuze,"
PHRASE_egyptian_city_attacked_too_late_reason_C_C 			"re ziwezhat eo erruet ho soudarded e [city_name], met abalamour d'ho striv ha d'ar youl ho peus diskouezet en ur chom hep kilañ rak an aberzhioù,"
PHRASE_egyptian_city_attacked_refuse_reason_P_A 			"dre m'ho peus nac'het kas ar soudarded en doa ezhomm ar faraon kaout e [city_name],"
PHRASE_egyptian_city_attacked_refuse_reason_P_B 			"klevet en deus ar faraon ho peus nac'het kas dezhañ ar soudarded en doa ezhomm evit talañ ouzh an enebour e [city_name]. Ouzhpenn da-se"
PHRASE_egyptian_city_attacked_refuse_reason_P_C 			"ha kement tra en desped d'ar fed ho peus nac'het d'ar faraon kas ar soudarded en doa ezhomm evit kas an enebour pell deus [city_name],"
PHRASE_egyptian_city_attacked_refuse_reason_C_A 			"dre m'ho peus nac'het kas ar soudarded a oa ezhomm evit bezañ trec'h ouzh ar maraoderien e [city_name],"
PHRASE_egyptian_city_attacked_refuse_reason_C_B 			"[city_name] a zo mantret da c'houzout ho peus nac'het kas ar soudarded a zo ezhomm anezhe evit bezañ trec'h war o enebourien. Neuze"
PHRASE_egyptian_city_attacked_refuse_reason_C_C 			"hag ho peus ivez nac'het kas ar soudarded a oa ezhomm anezhe evit bezañ trec'h war ar maraoderien e [city_name],"
PHRASE_egyptian_city_attacked_lost_battle_reason_P_A		"dre ma oa re wan soudarded ar faraon bet kaset da [city_name] evit talañ ouzh an enebourien,"
PHRASE_egyptian_city_attacked_lost_battle_reason_P_B		"ar soudarded wanaet ho peus kaset da sikour ar faraon da [city_name]a zo bet trec'het. Neuze"
PHRASE_egyptian_city_attacked_lost_battle_reason_P_C		"en desped da wanded ar soudarded ho peus kaset da sikour ar faraon da [city_name],"
PHRASE_egyptian_city_attacked_lost_battle_reason_C_A 		"dre ma n'int ket deuet ar soudarded bet kaset a-benn da vezañ trec'h war an arsailherien e [city_name],"
PHRASE_egyptian_city_attacked_lost_battle_reason_C_B		"ho soudarded gwanaet a zo bet trec'het e [city_name]. Koulskoude"
PHRASE_egyptian_city_attacked_lost_battle_reason_C_C		"ha pa n'int ket bet trec'h ho soudarded bet kaset da [city_name],"
PHRASE_egyptian_city_attacked_no_reason_P_A					"evit bastañ ouzh o ezhomm astennidigezh,"
PHRASE_egyptian_city_attacked_no_reason_P_B					"n'int ket diskoulmet ho kudennoù dre ma"
PHRASE_egyptian_city_attacked_no_reason_P_C					""
PHRASE_egyptian_city_attacked_no_reason_C_A					"da-heul un disput kozh,"
PHRASE_egyptian_city_attacked_no_reason_C_B					"n'int ket diskoulmet ho kudennoù c'hoazh dre ma"
PHRASE_egyptian_city_attacked_no_reason_C_C					""

;*****Distant Battle**********************************
PHRASE_distant_battle_title_P 					"Emgann pell"
PHRASE_distant_battle_title_C 					"Emgann pell"
PHRASE_distant_battle_initial_announcement_P	"[greeting] [player_name], [reason_phrase] tapet en un emgann didruez emañ al lu Egiptad. Ar faraon aotrounius a c'houlen groñs e vefe kaset soudarded da [city_name], ur ger pell, evit kemer perzh e-barzh an emgann. Kasit soudarded dindan [travel_time] miz."
PHRASE_distant_battle_initial_announcement_C	"[greeting] [player_name], [reason_phrase] krog-ha-krog emañ al lu Egiptad gant an enebour e [city_name], ur ger pell. Goulenn a ra diganeoc'h kas soudarded d'e skoazell. Kasit soudarded dindan [travel_time] miz."
PHRASE_distant_battle_first_reminder_P 			"[greeting] [player_name], un emgann goadek a gendalc'h e [city_name] hag ar faraon en deus ezhomm eus ho skoazell c'hoazh. Kasit-i dindan 6 miz evit ma errufent er c'houlz mat. Peotramant e vo fall an disoc'h."
PHRASE_distant_battle_first_reminder_C 			"[greeting] [player_name], an emgann evit [city_name] a gendalc'h, didruez. Kasit soudarded dindan 6 miz evit ma errufent d'ar poent mat. Kemer perzh en un trec'h glorius a c'halloc'h mod-se."
PHRASE_distant_battle_last_reminder_P 			"[greeting] [player_name], al lu Egiptad emañ o vrezeliñ e [city_name] c'hoazh hag hon nobl a faraon a c'houlenn groñs e vefe kaset skoazell dezhañ an abretañ ar gwellañ. N'ez it ket a-enep youl ar faraon p'emañ-eñ o vrezeliñ."
PHRASE_distant_battle_last_reminder_C 			"[greeting] [player_name], an emgann evit [city_name] n'eo ket echu. Ma kasit buan soudarded d'o sikour e c'hallfe an Egipt bezañ trec'h."
PHRASE_distant_battle_comply_reason_P_A  		"dre m'emañ trec'h ar faraon e [city_name] a-drugarez d'ho soudarded,"
PHRASE_distant_battle_comply_reason_P_B			"a-drugarez d'ho soudarded ez eo eo bet trec'h ar faraon e [city_name]. Koulskoude"
PHRASE_distant_battle_comply_reason_P_C			"ha pa 'z eo bet trec'h ar faraon e [city_name] a-drugarez d'ho soudarded,"
PHRASE_distant_battle_comply_reason_C_A  		"dre m'o deus skoazellet ho soudarded a-benn bezañ trec'h e [city_name],"
PHRASE_distant_battle_comply_reason_C_B			"alc'hwez an trec'h eo bet ho soudarded e-barzh an emgann e [city_name]. Neuze"
PHRASE_distant_battle_comply_reason_C_C			"ha pa 'z eo bet ho soudarded abeg an trec'h e-barzh an emgann e [city_name],"
PHRASE_distant_battle_too_late_reason_P_A 		"dre n'int ket deuet a-benn ho soudarded da saveteiñ ar faraon e [city_name],"
PHRASE_distant_battle_too_late_reason_P_B		"n'int ket deuet a-benn ho soudarded da saveteiñ ar faraon e [city_name]. Koulskoude"
PHRASE_distant_battle_too_late_reason_P_C		"ha p'eo bet erruet re ziwezhat ho soudarded evit skoazell ar faraon e [city_name] eo bet merzhet ho youl da chom hep kilañ rak an aberzh en anv ar rouantelezh. Neuze"
PHRASE_distant_battle_too_late_reason_C_A 		"dre m'eo erruet ho soudarded goude an emgann e [city_name],"
PHRASE_distant_battle_too_late_reason_C_B		"ho soudarded a zo erruet goude an egmgann e [city_name]. Koulskoude"
PHRASE_distant_battle_too_late_reason_C_C		"ha pa 'z eo erruet ho soudarded goude an emgann e [city_name] eo bet gwelet mat ho youl da chom hep nac'hañ an disterañ aberzh evit lorc'h ar rouantelezh. Neuze"
PHRASE_distant_battle_refuse_reason_P_A 		"dre n'ho peus ket respontet da c'houlenn skoazell lu ar faraon e [city_name],"
PHRASE_distant_battle_refuse_reason_P_B			"dre m'ho peus dianavezet en un doare foran goulenn skoazell lu ar faraon evit an emgann e [city_name]. Difus e oa ken e oa met"
PHRASE_distant_battle_refuse_reason_P_C			"ha p'oc'h chomet hep respont da c'houlenn skoazell lu ar faraon e [city_name],"
PHRASE_distant_battle_refuse_reason_C_A 		"dre m'ho peus nac'het kas soudarded evit an emgann e [city_name],"
PHRASE_distant_battle_refuse_reason_C_B			"nac'het ho peus kas soudarded evit an emgann e [city_name] ha drastus eo bet an disoc'h. Neuze"
PHRASE_distant_battle_refuse_reason_C_C			"ha p'ho peus nac'het kaset soudarded er stourm e [city_name],"
PHRASE_distant_battle_lost_battle_reason_P_A  	"dre ma oa re wan ho soudarded rak enebourien ar faraon e [city_name],"
PHRASE_distant_battle_lost_battle_reason_P_B	"lazhet eo bet ho soudarded gant enebourien ar faraon e [city_name]. Koulskoude"
PHRASE_distant_battle_lost_battle_reason_P_C	"ha pa 'z eo bet trec'het ar soudarded ho peus kaset da [city_name] gant enebour ar faraon,"
PHRASE_distant_battle_lost_battle_reason_C_A  	"dre ne oa nag ar startijenn nag ar youl en ho soudarded evit bezañ trec'h war an enebour en emgann [city_name],"
PHRASE_distant_battle_lost_battle_reason_C_B	"ar soudarded kaset da [city_name] ne oa nag ar startijenn nag ar youl enne a-benn bezañ trec'h war hon enebourien a-ouenn. Neuze, diwallit,"
PHRASE_distant_battle_lost_battle_reason_C_C	"ha pa n'int ket bet kreñv a walc'h ar soudarded kaset da [city_name] evit talañ ouzh an enebourien,"
PHRASE_distant_battle_no_reason_P_A				"troit a-du gant ma youc'h brezel, dre ma"
PHRASE_distant_battle_no_reason_P_B				"hor c'hudennoù a chomont,"
PHRASE_distant_battle_no_reason_P_C				""
PHRASE_distant_battle_no_reason_C_A				"kemennit ho soudarded dre ma"
PHRASE_distant_battle_no_reason_C_B				"n'eo ket echut c'hoazh rak"
PHRASE_distant_battle_no_reason_C_C				""

;Requests for goods
;*****General Request**********************************
PHRASE_general_request_title_P 					"Reked ar faraon"
PHRASE_general_request_title_C 					"Reked ur ger"
PHRASE_general_request_initial_announcement_P	"[greeting] [player_name], [reason_phrase] ar faraon dibar a c'houlenn diganeoc'h kas [amount] karrigellad [item] da [city_name] dindan [time_allotted] miz. Bastañ ouzh reked ar faraon a sacho anaoudegezh vat ar faraon warnoc'h."
PHRASE_general_request_initial_announcement_C	"[greeting] [player_name], [reason_phrase] kêr [city_name] a c'houlenn diganeoc'h kas [amount] karrigellad [item] dindan [time_allotted] miz. Sikour [city_name] a c'hallfe treiñ ho tazont war an tu mat."
PHRASE_general_request_reminder_P 				"[greeting] [player_name], en em c'houlenn a ra faraon perak [city_name] n'en deus ket resevet [amount] karrigellad [item]. C'hwec'h miz a chom ganeoc'h evit bastañ ouzh reked ar faraon."
PHRASE_general_request_reminder_C 				"[greeting] [player_name], [city_name] emañ o c'hortoz e [amount] karrigellad [item] ha pres a zo warnañ. 6 miz a chom ganeoc'h evit en ober."
PHRASE_general_request_overdue_P 				"[greeting] [player_name], direzoniñ ar faraon a glaskit ? N'ho peus ket kaset ar [amount] karrigellad [item] da [city_name] e koulz. Ur respont diwezhat a vo degemeret c'hoazh ha distannañ a rafe ar faraon."
PHRASE_general_request_overdue_C 				"[greeting] [player_name], tremenet eo poent ha n'ho peus ket kaset [amount] karrigellad [item] da [city_name]. Ur respont diwezhat a sioulfe imor anezhañ."
PHRASE_general_request_warning_P 				"[greeting] [player_name], 6 miz a chom ganeoc'h evit bastañ ouzh reked ar faraon. [amount] karrigellad [item] a rankit kas da [city_name]. Gwelloc'h e vefe en ober."
PHRASE_general_request_warning_C 				"[greeting] [player_name], kasit [amount] karrigellad [item] da [city_name] dindan 6 miz pe enebourien a zeuio d'ho kwelet."
PHRASE_general_request_comply_reason_P_A  		"dre m'eo bet kaset da [city_name] ar [amount] karrigellad [item] bet goulennet gant ar faraon,"
PHRASE_general_request_comply_reason_P_B		"ar [amount] karrrigellad [item] bet goulennet gant ar faraon a zo bet kaset da [city_name]. Evit an degouezh"
PHRASE_general_request_comply_reason_P_C		"bastet ho peus ouzh reked ar faraon en ur gas ar [amount] karrigellad [item] bet goulennet, koulskoude,"
PHRASE_general_request_comply_reason_C_A  		"dre m'ho peus kaset [amount] karrigellad [item] da [city_name], evel m'eo bet'goulennet,"
PHRASE_general_request_comply_reason_C_B		"[city_name] en deus resevet [amount] karrigellad [item], evel m'eo bet goulennet. Rankout a rit gouzout e"
PHRASE_general_request_comply_reason_C_C		"ha p'ho peus kaset [amount] karrigellad [item] da [city_name], evel m'eo bet goulennet,"
PHRASE_general_request_too_late_reason_P_A 		"abalamour d'an amzer ho peus kemeret evit kas [amount] karrigellad [item] bet goulennet gant ar faraon,"
PHRASE_general_request_too_late_reason_P_B		"c'hoant ar faraon da gaout [amount] karrigellad [item] n'eo ket bet bastet abalamour d'an amzer ho peus kemeret. Koulskoude,"
PHRASE_general_request_too_late_reason_P_C		"kalzig amzer ho peus kemeret evit kas ar [amount] karrigellad [item] bet goulennet gant ar faraon met merzhet eo bet ho striv. Neuze"
PHRASE_general_request_too_late_reason_C_A 		"dre m'ho peus respontet diwezhat da c'houlenn [city_name] evit kas [amount] karrigellad [item] da [city_name],"
PHRASE_general_request_too_late_reason_C_B		"diwezhat ho peus respontet da reked [city_name] evit kas [amount] karrigellad [item]. Diwallit ouzh"
PHRASE_general_request_too_late_reason_C_C		"daoust m'ho peus respontet diwezhat da reked [city_name] evit kas [amount]  karrigellad [item] eo bet merzhet ho striv. Neuze"
PHRASE_general_request_refuse_reason_P_A 		"dre m'ho peus dianavezet reked ar faraon evit kas [amount] karrigellad [item],"
PHRASE_general_request_refuse_reason_P_B		"dianavezet c'hoant ar faraon da gaout [amount] karrigellad [item] ha fuloret e vo. Koulskoude"
PHRASE_general_request_refuse_reason_P_C		"ha pa dianavezit reked ar faraon evit [amount] karrigellad [item],"
PHRASE_general_request_refuse_reason_C_A 		"dre n'ho peus ket kaset ar [amount] karrigellad [item] da [city_name],"
PHRASE_general_request_refuse_reason_C_B		"n'ho peus ket kaset ar [amount] karrigellad [item] da [city_name] ha fuloret int. Da c'hortoz"
PHRASE_general_request_refuse_reason_C_C		"daoust m'oc'h chomet hep kas [amount] karrigellad [item] da [city_name],"
PHRASE_general_request_no_reason_P_A			"a-benn diorren miradoù e zomani,"
PHRASE_general_request_no_reason_P_B			"gwall c'hoantegezh ar faraon a seblant bout divent dre ma"
PHRASE_general_request_no_reason_P_C			""
PHRASE_general_request_no_reason_C_A			"a-benn bastañ ouzh ezhommoù ar c'heodedourien,"
PHRASE_general_request_no_reason_C_B			"divevenn e seblant bezañ dre ma"
PHRASE_general_request_no_reason_C_C			""

;*****Great Festival - God x**********************************
PHRASE_great_festival_title_P 					"Lid gouestlet da [god]"
PHRASE_great_festival_title_C 					"Lid Bras en enor [god]"
PHRASE_great_festival_initial_announcement_P	"[greeting] [player_name], [reason_phrase] o prientiñ ul lid bras emañ ar faraon en enor [god] ha dalc'het e vo e [city_name] neuze e rank kaout madoù diganeoc'h. [time_allotted] miz ho peus evit kas [amount] karrigellad [item]."
PHRASE_great_festival_initial_announcement_C	"[greeting] [player_name], [reason_phrase] kêr [city_name] a c'houlenn diganeoc'h kas [amount] karrigellad [item] evit ul lid bras gouestlet da [god]. Dindan [time_allotted] miz e rank bezañ resevet ar madoù-se."
PHRASE_great_festival_reminder_P 				"[greeting] [player_name], c'hwec'h miz a chom evit kas [amount] karrigellad [item] da [city_name] evit al lid bras en enor [god]. Ma nac'hit bastañ ouzh ar reked-se e vo gwelet fall gant ar faraon."
PHRASE_great_festival_reminder_C 				"[greeting] [player_name], a-benn nebeud e vo dalc'het al lid bras en enor [god] e [city_name]. N'ho peus eket kaset c'hoazh ar [amount] karrigellad [item]. 6 miz a chom ganeoc'h evit o c'has."
PHRASE_great_festival_overdue_P 				"[greeting] [player_name], n'ho peus ket doujet ouzh an amzer hag ar faraon en deus ranket derc'hel al lid bras en enor [god] hep ar madoù rediet. Kasit memestra [amount] karrigellad [item] da [city_name] evit sioulaat fulor ar faraon."
PHRASE_great_festival_overdue_C 				"[greeting] [player_name], [city_name] n'eo ket laouen peogwir en deus ranket kavout ar madoù gortozet e lec'h all a-benn aozañ ul lid en enor [god]. Marteze e vint trugarezus kasit dezhe [amount] karrigellad [item] memestra."
PHRASE_great_festival_warning_P 				"[greeting] [player_name], 6 miz a chom ganeoc'h evit kas [amount] karrigellad [item] d'ar faraon e [city_name] evit al lid bras gouestlet da [god]. Mallozh d'an neb a c'houzañvo fulor ar faraon !"
PHRASE_great_festival_warning_C 				"[greeting] [player_name], [city_name] ne c'hortozo ket mui. Kasit [amount] karrigellad [item] dindan 6 miz evit mirout darempredoù mat en e geñver."
PHRASE_great_festival_comply_reason_P_A  		"dre m'ho peus enoret ar faraon ha [god] en ur c'has d'ar c'houlz mat [amount] karrigellad [item] da [city_name] evit al lid bras al lid bras,"
PHRASE_great_festival_comply_reason_P_B	  		"enoret mat ar faraon ha [god] ho peus graet en ur c'has [amount] karrigellad [item] d'ar poent mat da [city_name] evit al lid bras. Neuze,"
PHRASE_great_festival_comply_reason_P_C	 		 "enoret mat ar faraon ha [god] ho peus graet en ur c'has [amount] karrigellad [item] da [city_name] evit al lid bras,"
PHRASE_great_festival_comply_reason_C_A  		"dre m'ho peus skoazellet [city_name] da lidañ [god] en ur reiñ dezhe [amount] karrigellad [item],"
PHRASE_great_festival_comply_reason_C_B	  "dre m'ho peus skoazellet [city_name] da aozañ e lid bras en enor [god] en ur c'has dezhe [amount] karrigellad [item], ha plijet tre eo bet. Koulskoude,"
PHRASE_great_festival_comply_reason_C_C	  "ha p'ho peus skoazellet [city_name] en e lid bras goustlet da [god] en ur c'has [amount] karrigellad [item],"
PHRASE_great_festival_too_late_reason_P_A  	 "dre m'ho peus kaset re ziwezhat ar [amount] karrigellad [item] evit lid bras ar faraon en enor [god] ha dalc'het e [city_name],"
PHRASE_great_festival_too_late_reason_P_B	  "n'ho peus ket kaset e koulz mat ar [amount] karrigellad [item] evit lid bras ar faraon gouestlet da [god] ha dalc'het e [city_name]. Koulskoude,"
PHRASE_great_festival_too_late_reason_P_C	  "daoust ma n'emañ ket erruet e koulz ho [amount] karrigellad [item] evit lid bras ar faraon gouestlet da [god] ha dalc'het e [city_name], ho striv a vo kemeret e kont,"
PHRASE_great_festival_too_late_reason_C_A  	 "dre ma n'int ket erruet e koulz ar [amount] karrigellad [item] goulennet gant [city_name] evit al lid bras gouestlet da [god],"
PHRASE_great_festival_too_late_reason_C_B	  "ar [amount] karrigellad [item] goulennet gant [city_name] evit al lid bras gouestlet da [god] n'int ket erruet e koulz. Neuze,"
PHRASE_great_festival_too_late_reason_C_C	  "daoust ma n'emañ ket erruet e koulz ar [amount] karrigellad [item] goulennet gant [city_name] evit al lid bras gouestlet da [god] ha dre m'ho peus graet ho seizh gwellañ,"
PHRASE_great_festival_refuse_reason_P_A  	 	"dre m'ho peus nac'het bastañ ouzh goulenn ar faraon en doa ezhomm da gaout [amount] karrigellad [item] evit al lid bras aozet en enor [god] ha dalc'het e [city_name],"
PHRASE_great_festival_refuse_reason_P_B	  "gwalleget ho peus reked ar faraon a c'houlenne [amount] karrigellad [item] evit al lid bras aozet en enor [god] ha dalc'het e [city_name]. Neuze,"
PHRASE_great_festival_refuse_reason_P_C	  "daoust m'ho peus gwalleger reked ar faraon en doa ezhomm da gaout [amount] karrigellad [item] evit al lid bras aozet en enor [god] ha dalc'het e [city_name],"
PHRASE_great_festival_refuse_reason_C_A  	"dre m'ho peus diskouezet divegañs e-keñver [city_name] en ur nac'hañ o reked a [amount] karrigellad [item] evit al lid bras gouestlet da [god],"
PHRASE_great_festival_refuse_reason_C_B	  "divegañs ho peus diskouezet e-keñver [city_name] en ur nac'hañ e c'houlenn a [amount] karrigellad [item] evit al lid bras gouestlet da [god]. Neuze,"
PHRASE_great_festival_refuse_reason_C_C	  "daoust ha dismegañs ho peus diskouezet e-keñver [city_name] en ur nac'hañ bastañ ouzh e reked a [amount] karrigellad [item] evit al lid bras gouestlet da [god],"
PHRASE_great_festival_no_reason_P_A  	 "dre m'emañ o klask ar faraon reiñ enor d'an doue,"
PHRASE_great_festival_no_reason_P_B	  "daoust m'emañ fuloret [god],"
PHRASE_great_festival_no_reason_P_C	  ""
PHRASE_great_festival_no_reason_C_A  	 				"dre m'emañ benniget [city_name] gant [god],"
PHRASE_great_festival_no_reason_C_B	  "daoust m'emañ fuloret [god],"
PHRASE_great_festival_no_reason_C_C	  ""

;*****Construction Project**********************************
PHRASE_project_title_P 						"Saverezh evit Faraon"
PHRASE_project_title_C 						"Raktres savadur"
PHRASE_project_initial_announcement_P		"[greeting] [player_name], [reason_phrase] ken vras eo ar pezh en deus savet ar faraon hag en deus ezhomm e kasfec'h [amount] karrigellad [item] da [city_name]dindan [time_allotted] miz. Ne vern abeg ar raktres, evit lorc'h an Egipt eo hep mar."
PHRASE_project_initial_announcement_C		"[greeting] [player_name], [reason_phrase] kêr [city_name] a c'houlenn diganeoc'h e kasfec'h [amount] karrigellad [item] dindan [time_allotted] miz evit ur raktres savadur bras er ger."
PHRASE_project_reminder_P 					"[greeting] [player_name], fuloret eo ar faraon. N'ho peus ket kaset c'hoazh ar [amount] karrigellad [item] da [city_name] evit e raktres savadur. 6 miz ho peus evit bastañ ouzh reked ar faraon."
PHRASE_project_reminder_C 					"[greeting] [player_name], [city_name] en deus ezhomm da gaout [amount] karrigellad [item] evit echuiñ e raktres savadur. Kasit dindan 6 miz ar pezh a vez goulennet diganeoc'h. Peotramant e vo fuloret pennoù ar ger."
PHRASE_project_overdue_P 					"[greeting] [player_name], ar faraon ne c'hall ket gouzañv ken ho tismegañs. N'ho peus ket kaset ar [amount] karrigellad [item] da [city_name] e koulz evit ma echufe e raktres savadur. Ma teuit a-benn d'o c'has memestra, marteze e c'halloc'h saveteiñ ho prud."
PHRASE_project_overdue_C 					"[greeting] [player_name], [city_name] a soñj sevel ur c'hlemm gant ar faraon peogwir ho peus lakaet en arvar e raktres savadur en ur chom hep kas e koulz ar [amount] karrigellad [item]. Ma teuit a-benn d'o c'has, [city_name] a c'hallfe echuiñ e raktres ha nullañ klemm anezhañ."
PHRASE_project_warning_P 					"[greeting] [player_name], nec'hus e vo ur raktres diglok evit ar faraon. 6 miz a chom ganeoc'h evit kas [amount] karrigellad [item] da [city_name] evit e raktres savadur. Ma c'hwitfe ar raktres e oaro ar faraon rannañ e dispi ganeoc'h."
PHRASE_project_warning_C 					"[greeting] [player_name], nemet 6 miz a chom ganeoc'h evit kas [amount] karrigellad [item] da [city_name] evit e raktres savadur. Ma ne kasit ket ar madoù gortozet e c'hallfe bout spontus an disoc'h evit ho kêr."
PHRASE_project_comply_reason_P_A  	  		"dre m'eo hollbouezus ar [amount] karrigellad [item] ho peus kaset da [city_name] evit peurechuiñ raktres savadur ar faraon,"
PHRASE_project_comply_reason_P_B	  		"ar [amount] karrigellad [item] ho peus kaset a zo hollbouezus evit echuiñ raktres savadur ar faraon e [city_name]. Neuze"
PHRASE_project_comply_reason_P_C	  		"ha pa 'z eo hollbouezus ar [amount] karrigellad [item] ho peus kaset da [city_name] evit echuiñ raktres savadur ar faraon,"
PHRASE_project_comply_reason_C_A  	  			"dre m'ho peus skoazellet [city_name] da echuiñ e raktres e koulz en ur c'has [amount] karrigellad [item],"
PHRASE_project_comply_reason_C_B	  "sikouret ho peus [city_name] da echuiñ e raktres e koulz en ur c'has [amount] karrigellad [item]. Siwazh,"
PHRASE_project_comply_reason_C_C	  "daoust m'ho peus sikouret [city_name] da echuiñ e raktres e koulz en ur c'has [amount] karrigellad [item],"
PHRASE_project_too_late_reason_P_A   "dre m'ho peus lakaet un ehan war raktres savadur ar faraon e [city_name] en ur c'hortoz re bell a-raok kas [amount] karrigellad [item],"
PHRASE_project_too_late_reason_P_B	  "raktres savadur ar faraon e [city_name] a zo bet ehanet peogwir ho peus gortozet re bell a-raok kas ar [amount] karrigellad [item] gortozet. Neuze,"
PHRASE_project_too_late_reason_P_C	  "daoust m'ho peus ehanet raktres savadur ar faraon e [city_name] en ur c'hortoz re bell a-raok kas [amount] karrigellad [item], merzet eo bet ho striv ha neuze,"
PHRASE_project_too_late_reason_C_A  	"dre m'oc'h chomet da dortal ha n'ho peus ket kaset [amount] karrigellad [item] da [city_name],"
PHRASE_project_too_late_reason_C_B	  "chomet oc'h da dortal ha n'ho peus ket kaset ar [amount] karrigellad [item] gortozet gant [city_name]. Siwazh,"
PHRASE_project_too_late_reason_C_C	  "ha p'ho peus chipotet a-raok kas ar [amount] karrigellad [item] gortozet gant [city_name], merzet eo bet ho striv ha neuze,"
PHRASE_project_refuse_reason_P_A	"dre m'ho peus nac'het bastañ ouzh reked hollbouezus ar faraon evit kas [amount] karrigellad [item] a-benn echuiñ e bouezus a raktres savadur e [city_name],"
PHRASE_project_refuse_reason_P_B	  "diavizet oc'h bet en ur nac'hañ reked ar faraon e-keñver goulenn ar [amount] karrigellad [item] evit e bouezus a raktres e {city_name]. Neuze,"
PHRASE_project_refuse_reason_P_C	  "ha pa vez difur kenañ nac'hañ reked ar faraon e-keñver kasadenn ar [amount] karrigellad [item] evit e bouezus a raktres e {city_name], dres evel m'ho peus graet,"
PHRASE_project_refuse_reason_C_A 	"dre m'ho peus diboulzet [city_name] hag e reked a [amount] karrigellad [item],"
PHRASE_project_refuse_reason_C_B	  "diboulzet ho peus [city_name] hag e reked a [amount] karrigellad [item]. Koulskoude,"
PHRASE_project_refuse_reason_C_C	  "daoust m'ho peus diboulzet [city_name] hag reked anezhañ evit [amount] karrigellad [item],"
PHRASE_project_no_reason_P_A  	 	"evit lidañ taolioù-kaer ken niverus,"
PHRASE_project_no_reason_P_B	  "dre ma chom c'hoazh kalz labour d'ober"
PHRASE_project_no_reason_P_C	  ""
PHRASE_project_no_reason_C_A  	  "evit lidañ gloar an Egipt,"
PHRASE_project_no_reason_C_B	  "dre ma chom c'hoazh kalz traoù d'ober"
PHRASE_project_no_reason_C_C	  ""

;*****Famine Relief**********************************
PHRASE_famine_title_P 					"Naonegezh"
PHRASE_famine_title_C 					"Naonegezh"
PHRASE_famine_initial_announcement_P	"[greeting] [player_name], [reason_phrase] marnaoniet eo [city_name]. Urzhiet en deus ar faraon e sikourfec'h anezhañ. [time_allotted] miz ho peus evit kas [amount] karrigellad [item] dezhañ evit e skoazell."
