; eventmsg.txt
PHRASE_egyptian_city_attacked_too_late_reason_P_C 			"re ziwezhat int erruet ho soudarded evit skoazellañ armeadoù ar faraon e [city_name]. Koulskoude eo bet merzhet ho striv. Neuze,"
PHRASE_egyptian_city_attacked_too_late_reason_C_A 			"dre m'ho peus gortozet re bell a-raok kas un nerzh skoazell da [city_name],"
PHRASE_egyptian_city_attacked_too_late_reason_C_B 			"re ziwezhat int erruet ho soudarded evit difenn [city_name]. Neuze,"
PHRASE_egyptian_city_attacked_too_late_reason_C_C 			"re ziwezhat int erruet ho soudarded e [city_name], met merzhet eo bet ho striv hag ho youl vat,"
PHRASE_egyptian_city_attacked_refuse_reason_P_A 			"dre m'ho peus nac'het kas nerzhioù skoazell d'ar faraon e [city_name],"
PHRASE_egyptian_city_attacked_refuse_reason_P_B 			"ar faraon en deus klevet ho poa nac'het skoazellañ anezhañ evit kas an enebourien kuit deus [city_name]. Ouzhpenn-se,"
PHRASE_egyptian_city_attacked_refuse_reason_P_C 			"ha kement tra en desped d'ar fed ho peus nac'het skoazellañ ar faraon evit kas an enebourien kuit deus [city_name],"
PHRASE_egyptian_city_attacked_refuse_reason_C_A 			"dre m'ho peus nac'het kas ar soudarded a oa ezhomm anezhe evit kas ar maraoderien kuit deus [city_name],"
PHRASE_egyptian_city_attacked_refuse_reason_C_B 			"[city_name] a zo mantret o c'houzout ho peus nac'het kas ar soudarded a oa ezhomm anezhe evit bezañ trec'h war an enebourien. Neuze,"
PHRASE_egyptian_city_attacked_refuse_reason_C_C 			"ha d'ar fed ho peus nac'het kas ar soudarded a oa ezhomm anezhe evit kas ar maraoderien kuit deus [city_name],"
PHRASE_egyptian_city_attacked_lost_battle_reason_P_A		"daoust ma oa re wan ar soudarded ho peus kaset d'ar faraon e [city_name] evit talañ ouzh an enebourien,"
PHRASE_egyptian_city_attacked_lost_battle_reason_P_B		"trec'het eo bet an nerzh skoazell ho peus kaset d'ar faraon e [city_name]. Neuze,"
PHRASE_egyptian_city_attacked_lost_battle_reason_P_C		"en desped da wanded an nerzh skoazell ho peus kaset da skoazellañ ar faraon e [city_name],"
PHRASE_egyptian_city_attacked_lost_battle_reason_C_A 		"dre ma n'int ket deuet a-benn ho soudarded da vezañ trec'h war an enebourien e [city_name],"
PHRASE_egyptian_city_attacked_lost_battle_reason_C_B		"ho paour-kaezh soudarded a zo bet trec'het e [city_name]. Koulskoude,"
PHRASE_egyptian_city_attacked_lost_battle_reason_C_C		"en desped ma 'z eo bet trec'het ho soudarded e [city_name],"
PHRASE_egyptian_city_attacked_no_reason_P_A					"evit bastañ ho o c'hoant aloubiñ,"
PHRASE_egyptian_city_attacked_no_reason_P_B					"n'int ket diskoulmet ho kudennoù dre ma"
PHRASE_egyptian_city_attacked_no_reason_P_C					""
PHRASE_egyptian_city_attacked_no_reason_C_A					"da-heul un disput kozh,"
PHRASE_egyptian_city_attacked_no_reason_C_B					"n'int ket diskoulmet ho kudennoù dre ma"
PHRASE_egyptian_city_attacked_no_reason_C_C					""

;*****Distant Battle**********************************
PHRASE_distant_battle_title_P 					"Emgann pell"
PHRASE_distant_battle_title_C 					"Emgann pell"
PHRASE_distant_battle_initial_announcement_P	"[greeting] [player_name], [reason_phrase] an armead a vro Egipt emañ stanket en un emgann didruez. Ar faraon Meur en deus ezhomm e kasfec'h soudarded skoazell da [city_name], ur gêr a-bell. Kasit ar soudarded dindan [travel_time] miz."
PHRASE_distant_battle_initial_announcement_C	"[greeting] [player_name], [reason_phrase] armead bro Egipt emañ o stourm a-enep an alouberien e kêr [city_name] hag ezhomm he deus da gaout skoazell. Kasit soudarded dezhi dindan [travel_time] miz."
PHRASE_distant_battle_first_reminder_P 			"[greeting] [player_name], kenderc'hel a ra an emgann didruez e [city_name] hag ar faraon en deus ezhomm deus nerzh ho soudarded c'hoazh. Kasit-i dindan 6 miz evit ma errufent e koulz. Mod-all ho po kudennoù nevez."
PHRASE_distant_battle_first_reminder_C 			"[greeting] [player_name], kenderc'hel a ra an emgann evit dieubidigezh [city_name]. Kasit soudarded dindan 6 miz evit ma errufent e koulz. Mod-se e c'halloc'h kemer perzh ha bezañ trec'h."
PHRASE_distant_battle_last_reminder_P 			"[greeting] [player_name], an armead a vro Egipt emañ c'hoazh e-kreiz ar stourm e [city_name] hag ar faraon santel en deus ezhomm da gaout skoazell, hag ar buanañ ar gwellañ. N'ez it ket a-enep youl anezhañ p'emañ o vrezeliñ."
PHRASE_distant_battle_last_reminder_C 			"[greeting] [player_name], kenderc'hel a ra an emgann evit dieubidigezh [city_name]. Ma kasit buan-buan soudarded skoazell evit ma c'hallfe an Egipt bezañ trec'h."
PHRASE_distant_battle_comply_reason_P_A  		"dre ma 'z a trec'h ar faraon diouzhoc'h ha diouzh nerzh ho soudarded e kêr [city_name],"
PHRASE_distant_battle_comply_reason_P_B			"trec'h eo bet ar faraon e [city_name], a-drugarez d'ho soudarded. Koulskoude"
PHRASE_distant_battle_comply_reason_P_C			"en desped ma 'z eo a-drugarez d'ho soudarded eo bet trec'h ar faraon e [city_name] ,"
PHRASE_distant_battle_comply_reason_C_A  		"dre ma 'z eo a-drugarez d'ho soudarded eo bet trec'h an Egipt e [city_name] ,"
PHRASE_distant_battle_comply_reason_C_B			"hollbouezus int bet ho soudarded evit bezañ trec'h e [city_name]. Neuze,"
PHRASE_distant_battle_comply_reason_C_C			"en desped m'eo bet ho soudarded an elfenn bouezusañ evit bezañ trec'h e [city_name],"
PHRASE_distant_battle_too_late_reason_P_A 		"dre ma n'int ket deuet a-benn ho soudarded da skoazellañ ar faraon e [city_name],"
PHRASE_distant_battle_too_late_reason_P_B		"ho soudarded n'int ket deuet a-benn da skoazellañ ar faraon e [city_name]. Koulskoude,"
PHRASE_distant_battle_too_late_reason_P_C		"daoust ma n'int ket deuet a-benn ho soudarded da skoazellañ ar faraon e [city_name] eo bet merzhet ho striv evit mat ar rouantelezh. Neuze,"
PHRASE_distant_battle_too_late_reason_C_A 		"daoust ma 'z int erruet ho soudarded goude an emgann e [city_name],"
PHRASE_distant_battle_too_late_reason_C_B		"ho soudarded a zo erruet goude an emgann e [city_name]. Koulskoude,"
PHRASE_distant_battle_too_late_reason_C_C		"en desped ma 'z int erruet ho soudarded goude an emgann e [city_name] eo bet merzhet ho striv evit mat ar rouantelezh. Neuze,"
PHRASE_distant_battle_refuse_reason_P_A 		"dre m'ho peus laosket a-gostez goulenn skoazell ar faraon e [city_name],"
PHRASE_distant_battle_refuse_reason_P_B			"dre m'ho peus laosket a-gostez goulenn skoazell ar faraon e [city_name]. Ne oa ket fur tamm ebet, koulskoude,"
PHRASE_distant_battle_refuse_reason_P_C			"en desped d'ar fed ho peus nac'het skoazellañ ar faraon e [city_name],"
PHRASE_distant_battle_refuse_reason_C_A 		"daoust m'ho peus nac'het skoazellañ [city_name] ha kas dezhi ar soudarded skoazell a oa ezhomm,"
PHRASE_distant_battle_refuse_reason_C_B			"nac'het ho peus kas soudarded skoazell da [city_name], spontus eo an disoc'h. Neuze,"
PHRASE_distant_battle_refuse_reason_C_C			"en desped d'ar fed ho peus nac'het kas soudarded skoazell da [city_name],"
PHRASE_distant_battle_lost_battle_reason_P_A  	"dre ma oa re wan ar soudarded ho peus kaset da [city_name] evit bezañ efedus,"
PHRASE_distant_battle_lost_battle_reason_P_B	"trec'het int bet ar soudarded ho peus kaset da [city_name]. Koulskoude,"
PHRASE_distant_battle_lost_battle_reason_P_C	"en desped d'ar fed int bet trec'het ho soudarded e [city_name],"
PHRASE_distant_battle_lost_battle_reason_C_A  	"dre ma oa re wan ar soudarded ho peus kaset da [city_name],"
PHRASE_distant_battle_lost_battle_reason_C_B	"re wan e oa ar soudarded ho peus kaset da [city_name] evit gellet talañ ouzh hon enebourien a gozh. Neuze, diwallit mat,"
PHRASE_distant_battle_lost_battle_reason_C_C	"en desped ma oa re wan ar soudarded ho peus kaset d'an emgann e [city_name] evit bezañ trec'h,"
PHRASE_distant_battle_no_reason_P_A				"entuit ganeomp hag ar youc'h brezel, dre ma"
PHRASE_distant_battle_no_reason_P_B				"n'int ket diskoulmet hor c'hudennoù,"
PHRASE_distant_battle_no_reason_P_C				""
PHRASE_distant_battle_no_reason_C_A				"galvit ho soudarded, abalamour ma"
PHRASE_distant_battle_no_reason_C_B				"n'eo ket echu c'hoazh, dre ma"
PHRASE_distant_battle_no_reason_C_C				""

;Requests for goods
;*****General Request**********************************
PHRASE_general_request_title_P 					"Reked a-berzh ar Faraon"
PHRASE_general_request_title_C 					"Reked a-berzh ur gêr"
PHRASE_general_request_initial_announcement_P	"[greeting] [player_name], [reason_phrase] ar faraon hollc'halloudek a c'houlenn ouzhoc'h kas [amount] karrigellad [item] da [city_name] dindan [time_allotted] miz. Trugarezus e vo ar faraon ma bastit ouzh ar reked-mañ."
PHRASE_general_request_initial_announcement_C	"[greeting] [player_name], [reason_phrase], kêr [city_name] a c'houlenn diganeoc'h [amount] karrigellad [item] dindan [time_allotted] miz. Skoazellit [city_name] hag e c'hallfe bezañ dedennus-tre an disoc'h evit an amzer dazont."
PHRASE_general_request_reminder_P 				"[greeting] [player_name], en em c'houlenn a ra ar faraon perak n'en deus ket resevet [city_name] ar [amount] karrigellad [item]. 6 miz a chom evit bastañ ouzh reked ar faraon."
PHRASE_general_request_reminder_C 				"[greeting] [player_name], [city_name] emañ o c'hortoz ar [amount] karrigellad [item]. 6 miz a chom evit kas an danvezioù."
PHRASE_general_request_overdue_P 				"[greeting] [player_name], ha klask a rit direzoniñ ar faraon ? N'ho peus ket kaset ar [amount] karrigellad [item] da [city_name] dindan an amzer ret. Ur respont, diwezhat zoken, a zistanno fulor ar faraon."
PHRASE_general_request_overdue_C 				"[greeting] [player_name], tremenet eo an amzer ha n'ho peus ket kaset ar [amount] karrigellad [item] da [city_name]. Ur respont, diwezhat zoken, a zistanno fulor ar faraon."
PHRASE_general_request_warning_P 				"[greeting] [player_name], 6 miz a chom ganeoc'h evit bastañ ouzh reked ar faraon. Rankout a rit kas [amount] karrigellad [item] da [city_name]. Gwelloc'h e vefe en ober."
PHRASE_general_request_warning_C 				"[greeting] [player_name], kasit [amount] karrigellad [item] da [city_name] dindan 6 miz peotramant e weloc'h soudarded enebour war hent ho kêr."
PHRASE_general_request_comply_reason_P_A  		"dre m'eo bet kaset ar [amount] karrigellad [item] bet goulennet gant ar faraon da [city_name],"
PHRASE_general_request_comply_reason_P_B		"ar [amount] karrigellad [item] bet goulennet gant ar faraon evit [city_name] a zo bet resevet. Evit an degouezh-se, "
PHRASE_general_request_comply_reason_P_C		"bastet ho peus ar faraon en ur gas ar [amount] karrigellad [item] bet goulennet, koulskoude,"
PHRASE_general_request_comply_reason_C_A  		"dre m'ho peus kaset [amount] karrigellad [item] da [city_name], evel goulennet,"
PHRASE_general_request_comply_reason_C_B		"[city_name] en deus resevet [amount] karrigellad [item], evel goulennet. Rankout a rit gouzout"
PHRASE_general_request_comply_reason_C_C		"en desped m'ho peus kaset [amount] karrigellad [item] da [city_name], evel goulennet,"
PHRASE_general_request_too_late_reason_P_A 		"dre m'ho peus gortozet re bell a-raok kas ar [amount] karrigellad [item] bet goulennet gant ar faraon,"
PHRASE_general_request_too_late_reason_P_B		"ar reked a [amount] karrigellad [item] bet savet gant ar faraon n'eo ket bet bastet abalamour d'an dale. Koulskoude,"
PHRASE_general_request_too_late_reason_P_C		"dale ho peus kemeret evit kas ar [amount] karrigellad [item] goulennet gant ar faraon, met merzhet eo bet ho striv. Neuze,"
PHRASE_general_request_too_late_reason_C_A 		"dre m'ho peus respontet diwezhat da reked [city_name] ha kaset [amount] karrigellad [item] da [city_name],"
PHRASE_general_request_too_late_reason_C_B		"respontet ho peus diwezhat da reked [city_name] a [amount] karrigellad [item]. Diwallit peogwir"
PHRASE_general_request_too_late_reason_C_C		"en desped d'ar fed ho peus respontet diwezhat da reked [city_name] ho peus kaset [amount] karrigellad [item] memestra ha merzhet eo bet ho striv. Neuze,"
PHRASE_general_request_refuse_reason_P_A 		"dre m'ho peus laosket a-gostez reked ar faraon evit kas [amount] karrigellad [item],"
PHRASE_general_request_refuse_reason_P_B		"laosket ho peus a-gostez reked ar faraon evit kas [amount] karrigellad [item] ha fallgontant e vo. Koulskoude,"
PHRASE_general_request_refuse_reason_P_C		"zoken m'ho peus laosket a-gostez reked ar faraon evit kas [amount] karrigellad [item],"
PHRASE_general_request_refuse_reason_C_A 		"dre ma n'ho peus ket kaset ar [amount] karrigellad [item] da [city_name],"
PHRASE_general_request_refuse_reason_C_B		"n'ho peus ket kaset ar [amount] karrigellad [item] da [city_name] ha fallgontant int. Da c'hortoz,"
PHRASE_general_request_refuse_reason_C_C		"en desped d'ar fed n'ho peus ket kaset ar [amount] karrigellad [item] da [city_name],"
PHRASE_general_request_no_reason_P_A			"a-benn gwellaat miradoù e zomani,"
PHRASE_general_request_no_reason_P_B			"divent eo c'hoantegezh ar faraon, dre ma"
PHRASE_general_request_no_reason_P_C			""
PHRASE_general_request_no_reason_C_A			"a-benn bastañ ouzh ezhommoù e c'heodedourien,"
PHRASE_general_request_no_reason_C_B			"war a seblant n'eus bevenn ebet, dre ma"
PHRASE_general_request_no_reason_C_C			""

;*****Great Festival - God x**********************************
PHRASE_great_festival_title_P 					"Lid en enor [god]"
PHRASE_great_festival_title_C 					"Lid bras en enor [god]"
PHRASE_great_festival_initial_announcement_P	"[greeting] [player_name], [reason_phrase] ar faraon emañ o prientiñ ul lid bras en enor [god] ha dalc'het e vo e [city_name] neuze en deus ezhomm da gaout madoù digant ho kêr. [time_allotted] miz ho peus evit kas [amount] karrigellad [item]."
PHRASE_great_festival_initial_announcement_C	"[greeting] [player_name], [reason_phrase], kêr [city_name] a c'houlenn [amount] karrigellad [item] evit aozañ ul lid bras en enor [god]. Gortoz a raio [time_allotted] miz evit resevout an danvezioù."
PHRASE_great_festival_reminder_P 				"[greeting] [player_name], 6 miz a chom ganeoc'h evit kas [amount] karrigellad [item] da [city_name] evit al lid bras en enor [god]. Fallgontant e vo ar faraon ma ne bastit ket ouzh e reked."
PHRASE_great_festival_reminder_C 				"[greeting] [player_name], al lid bras en enor [god] ha dalc'het e [city_name] a vo dalc'het a-benn nebeud. N'ho peus ket kaset c'hoazh ar [amount] karrigellad [item]. 6 miz a chom ganeoc'h evit kas an danvezioù."
PHRASE_great_festival_overdue_P 				"[greeting] [player_name], n'ho peus ket bastet ouzh reked ar faraon pa en doa ezhomm ha ranket en deus aozañ al lid en enor [god] hep ho tanvezioù. Kasit memes tra [amount] karrigellad [item] da [city_name] evit distannañ anezhañ."
PHRASE_great_festival_overdue_C 				"[greeting] [player_name], [city_name] n'eo ket plijet peogwir he deus ranket klask un doare all evit kaout peadra da aozañ he lid bras en enor [god]. Ho trugarekaat a raio ma kasit [amount] karrigellad [item] memes tra."
PHRASE_great_festival_warning_P 				"[greeting] [player_name], 6 miz a chom ganeoc'h evit kas [amount] karrigellad [item] d'ar faraon e [city_name] evit al lid bras en enor [god]. Ra vo milliget an neb a c'houzañvo fulor ar faraon !"
PHRASE_great_festival_warning_C 				"[greeting] [player_name], [city_name] n'eo ket evit gortoz pelloc'h. Kasit [amount] karrigellad [item] dindan 6 miz evit mirout darempredoù mat gante."
PHRASE_great_festival_comply_reason_P_A  		"dre m'ho peus enoret mat ar faraon ha [god] en ur gas [amount] karrigellad [item] da [city_name] evit al lid bras,"
PHRASE_great_festival_comply_reason_P_B	  		"doujañs ho peus diskouezhet ouzh ar faraon hag ouzh [god] en ur gas [amount] karrigellad [item] da [city_name] evit al lid bras. Neuze,"
PHRASE_great_festival_comply_reason_P_C	 		 "doujañs ho peus diskouehzet ouzh ar faraon hag ouzh [god] en ur gas [amount] karrigellad [item] da [city_name] evit al lid bras,"
PHRASE_great_festival_comply_reason_C_A  		"dre m'ho peus skoazellet [city_name] da zerc'hel he lid bras en enor [god] en ur gas [amount] karrigellad [item],"
PHRASE_great_festival_comply_reason_C_B	  "dre m'ho peus skoazellet [city_name] da zerc'hel he lid bras en enor [god] en ur gas [amount] karrigellad [item], ha gwelet mat eo bet gante. Koulskoude,"
PHRASE_great_festival_comply_reason_C_C	  "en desped m'ho peus skoazellet [city_name] da lidañ galloud [god] en ur gas [amount] karrigellad [item],"
PHRASE_great_festival_too_late_reason_P_A  	 "dre ma n'ho peus ket kaset e koulz ar [amount] karrigellad [item] evit lid bras ar faraon en enor [god], dalc'het e [city_name],"
PHRASE_great_festival_too_late_reason_P_B	  "n'ho peus ket kaset ar [amount] karrigellad [item] evit lid bras ar faraon en enor [god], dalc'het e [city_name]. Koulskoude,"
PHRASE_great_festival_too_late_reason_P_C	  "en desped d'ar fed n'eo ket erruet ar [amount] karrigellad [item] e koulz evit lid bras ar faraon en enor [god], dalc'het e [city_name], ho striv a vo kemeret e kont memes tra,"
PHRASE_great_festival_too_late_reason_C_A  	 "dre ma n'eo ket erruet e koulz ar [amount] karrigellad [item] bet goulennet gant [city_name] evit he lid bras en enor [god] ,"
PHRASE_great_festival_too_late_reason_C_B	  "n'eo ket erruet e koulz ar [amount] karrigellad [item] bet goulennet gant [city_name] evit he lid bras en enor [god]. Neuze,"
PHRASE_great_festival_too_late_reason_C_C	  "dre ma n'eo ket erruet e koulz ar [amount] karrigellad [item] bet goulennet gant [city_name] evit he lid bras en enor [god], ha dre m'ho peus graet ho seizh gwellañ,"
PHRASE_great_festival_refuse_reason_P_A  	 	"daoust m'ho peus laosket a-gostez reked ar faraon hag en doa ezhomm da gaout [amount] karrigellad [item] evit ul lid bras en enor [god], dalc'het e [city_name],"
PHRASE_great_festival_refuse_reason_P_B	  "laosket ho peus a-gostez reked ar faraon hag en doa ezhomm kaout [amount] karrigellad [item] a-benn aozañ ul lid bras en enor [god], dalc'het e [city_name]. Neuze,"
PHRASE_great_festival_refuse_reason_P_C	  "en desped d'ar fed ho peus laosket a-gostez reked ar faraon hag en doa ezhomm kaout [amount] karrigellad [item] a-benn aozañ ul lid bras en enor [god], dalc'het e [city_name],"
PHRASE_great_festival_refuse_reason_C_A  	"dre ma z' hoc'h bet dismegañsus e-keñver [city_name] en ur leuskel a-gostez e reked evit kaout [amount] karrigellad [item] a-benn aozañ ul lid bras en enor [god],"
PHRASE_great_festival_refuse_reason_C_B	  "dismegañsus hoc'h bet e-keñver [city_name] en ur leuskel a-gostez e reked evit kaout [amount] karrigellad [item] a-benn aozañ ul lid bras en enor [god]. Neuze,"
PHRASE_great_festival_refuse_reason_C_C	  "en desped d'ar fed hoc'h bet dismegañsus e-keñver [city_name] en ur leuskel a-gostez e reked [amount] karrigellad [item] evit ul lid bras en enor [god],"
PHRASE_great_festival_no_reason_P_A  	 "dre m'emañ ar faraon o klask enõriñ an doue,"
PHRASE_great_festival_no_reason_P_B	  "dre m'emañ fallgontant [god],"
PHRASE_great_festival_no_reason_P_C	  ""
PHRASE_great_festival_no_reason_C_A  	 				"dre m'emañ benniget [city_name] gant [god],"
PHRASE_great_festival_no_reason_C_B	  "dre m'emañ fallgontant [god],"
PHRASE_great_festival_no_reason_C_C	  ""

;*****Construction Project**********************************
PHRASE_project_title_P 						"Raktres savadur evit Faraon"
PHRASE_project_title_C 						"Raktres savadur"
PHRASE_project_initial_announcement_P		"[greeting] [player_name], [reason_phrase] bras kenañ eo raktres savadur ar faraon neuze en deus ehzomm e kasfec'h [amount] karrigelad [item] da [city_name] dindan [time_allotted] miz. Ne vern abeg ar raktres, evit gloar ha berz an Egipt ez eo, sur eo ha n'eo ket marteze."
PHRASE_project_initial_announcement_C		"[greeting] [player_name], [reason_phrase], kêr [city_name] he deus ezhomm e kasfec'h [amount] karrigellad [item] dindan [time_allotted] miz evit ur raktres savadur bras kenañ."
PHRASE_project_reminder_P 					"[greeting] [player_name], fuloret eo ar faraon. N'ho peus ket kaset c'hoazh ar [amount] karrigellad [item] da [city_name] evit kas da benn e raktres savadur. 6 miz ho peus evit bastañ ouzh reked ar faraon."
PHRASE_project_reminder_C 					"[greeting] [player_name], [city_name] he deus ezhomm da gaout [amount] karrigellad [item] evit echuiñ he raktres savadur. Kasit ar pezh a rankit kas dindan 6 miz. Mod-all e vo fuloret pennoù ar gêr."
PHRASE_project_overdue_P 					"[greeting] [player_name], e walc'h en deus bet ar faraon gant ho tismegañs. N'ho peus ket kaset ar [amount] karrigellad [item] da [city_name]. Grit ho seizh gwellañ evit kas pep tra ha chom gwelet mat."
PHRASE_project_overdue_C 					"[greeting] [player_name], [city_name] a soñj lâret d'ar faraon pegen dizoujus oc'h. N'ho peus ket kaset ar [amount] karrigellad [item]. Ma teuit a-benn da gas pep tra da [city_name] e c'hallfe ar gêr-se echuiñ he raktres savadur a chom mut da geñver ho tiouer a zoujañs."
PHRASE_project_warning_P 					"[greeting] [player_name], ur raktres dibenn ne servijfe da netra evit ar faraon. 6 miz a chom ganeoc'h evit kas [amount] karrigellad [item] da [city_name] evit echuiñ e raktres savadur. Ma ne zeuit ket a-benn da gas pep tra e ouio ar faraon lâret deoc'h pegen dipitet eo."
PHRASE_project_warning_C 					"[greeting] [player_name], nemet 6 miz a chom ganeoc'h evit kas [amount] karrigellad [item] da [city_name] evit e raktres savadur. ma ne zeuit ket a-benn da gas pep tra e vo spontus ar rebourserezh."
PHRASE_project_comply_reason_P_A  	  		"dre m'int hollbouezus ar [amount] karrigellad [item] ho peus kaset d'ar faraon evit echuiñ e raktres savadur e [city_name],"
PHRASE_project_comply_reason_P_B	  		"ar [amount] karrigellad [item] ho peus kaset d'ar faraon e [city_name]a zo hollbouezus evit ma echufe e raktres savadur. Neuze"
PHRASE_project_comply_reason_P_C	  		"daoust ma 'z int hollbouezus ar [amount] karrigellad [item] ho peus kaset da [city_name] evit ma echufe ar faraon e raktres savadur,"
PHRASE_project_comply_reason_C_A  	  			"dre m'ho peus skoazellet [city_name] evit echuiñ e raktres savadur d'ar poent mat en ur gas [amount] karrigellad [item],"
PHRASE_project_comply_reason_C_B	  "skoazellet ho peus [city_name] evit echuiñ e raktres savadur d'ar poent mat en ur gas [amount] karrigellad [item]. Siwazh,"
PHRASE_project_comply_reason_C_C	  "en desped d'ar fed ho peus skoazellet [city_name] evit echuiñ e raktres savadur en ur gas [amount] karrigellad [item],"
PHRASE_project_too_late_reason_P_A   "dre m'ho peus stanket raktres savadur ar faraon e  [city_name] en ur c'hortoz re bell a-raok kas [amount] karrigellad [item],"
PHRASE_project_too_late_reason_P_B	  "raktres savadur ar faraon e [city_name] a zo bet stanket peogwir ho peus gortozet re bell a-raok kas ar [amount] karrigellad [item] rediet. Neuze,"
PHRASE_project_too_late_reason_P_C	  "daoust m'ho peus stanket raktres savadur ar faraon e [city_name] en ur c'hortoz re bell a-raok kas [amount] karrigellad [item] eo bet merzhet ho striv, ha neuze,"
PHRASE_project_too_late_reason_C_A  	"dre m'ho peus gortozet re bell a-raok kas da [city_name] ar [amount] karrigellad [item],"
PHRASE_project_too_late_reason_C_B	  "gortozet ho peus re bell ha n'ho peus ket kaset da [city_name] ar [amount] karrigellad [item] goulennet. Malheureusement,"
PHRASE_project_too_late_reason_C_C	  "en desped m'ho peus gortozet re bell a-raok kas da [city_name] ar [amount] karrigellad [item] goulennet eo bet merzhet ho striv, ha neuze,"
PHRASE_project_refuse_reason_P_A	"dre m'ho peus nac'het respont da reked ar faraon evit kas ar [amount] karrigellad [item] hollbouezus evit echuiñ e raktres savadur e [city_name],"
PHRASE_project_refuse_reason_P_B	  "nac'het ho peus reked ar faraon evit kas [amount] karrigellad [item] evit e raktres savadur pouezus e [city_name]. Neuze,"
PHRASE_project_refuse_reason_P_C	  "daoust ma 'z eo bet dañjerus nac'hañ reked ar faraon evit kas [amount] karrigellad [item] evit echuiñ e raktres savadur pouezus e [city_name], evel m'ho peus graet,"
PHRASE_project_refuse_reason_C_A 	"dre m'ho peus nac'het respont da [city_name] hag he goulenn a [amount] karrigellad [item],"
PHRASE_project_refuse_reason_C_B	  "nac'het ho peus respont da [city_name] hag he goulenn a [amount] karrigellad [item]. Koulskoude,"
PHRASE_project_refuse_reason_C_C	  "en desped m'ho peus nac'het respont da [city_name] hag d'he goulenn a [amount] karrigellad [item],"
PHRASE_project_no_reason_P_A  	 	"evit lidañ e drec'hioù brezel, ken niverus ma 'z int,"
PHRASE_project_no_reason_P_B	  "dre ma chom c'hoazh kalz labour da gas da benn"
PHRASE_project_no_reason_P_C	  ""
PHRASE_project_no_reason_C_A  	  "evit lidañ gloar an Egipt,"
PHRASE_project_no_reason_C_B	  "dre ma chom c'hoazh kalz traoù d'ober"
PHRASE_project_no_reason_C_C	  ""

;*****Famine Relief**********************************
PHRASE_famine_title_P 					"Naonegezh"
PHRASE_famine_title_C 					"Naonegezh"
PHRASE_famine_initial_announcement_P	"[greeting] [player_name], [reason_phrase] naon bras en deus pobl [city_name]. Ar faraon en deus urzhiet deoc'h sikourat anezhe. [time_allotted] miz ho peus evit kas [amount] karrigellad [item] dezhe."
